标准商品ID,标准商品,成本价,最低限价,平台,货源商品,货源商,对接码,库存,公开价,商品链接
chatgpt-codex-service,Codex / ChatGPT 周边服务,3,,链动小铺,ChatGPT Plus UPI开通卡密 | 提链+支付一体 印度通道自助,YYYYD,lqorbsqm,42,3.5,https://pay.ldxp.cn/item/3mfl8p
chatgpt-plus,ChatGPT Plus 试用订阅,3,,链动小铺,chatgptplus多人体验号无质保(可用codex),AI代理商货源（8元gptplus成品号可用codex）,5y4035gb,46,3,https://pay.ldxp.cn/item/137wr3
chatgpt-plus,ChatGPT Plus 试用订阅,3,,链动小铺,GPT PLUS 镜像站(天卡),AI gogo渠道 （招代理）,gogo,11,3,https://pay.ldxp.cn/item/ioj9jp
chatgpt-free-account,ChatGPT 普号,3,3,链动小铺,gpt普通账号（微软hotmail邮箱）,咕咕Ai源头号商（招实力代理）,gugu,51,3,https://pay.ldxp.cn/item/o9my1b
chatgpt-free-account,ChatGPT 普号,3,3,链动小铺,gpt普通账号（微软outlook邮箱）,咕咕Ai源头号商（招实力代理）,gugu,89,3,https://pay.ldxp.cn/item/5ue01o
chatgpt-plus,ChatGPT Plus 试用订阅,4,,链动小铺,【7.19pp渠道】微软邮箱，手搓Plus成品号，质保首登，支持登录网页，支持codex,小橘咪,tv0ynoeo,4,4.5,https://pay.ldxp.cn/item/jrdk41
chatgpt-codex-service,Codex / ChatGPT 周边服务,4,4,链动小铺,印度UPI巴西Pix支付二维码 可提10次,团子AI,xk7jr4jn,14,5,https://pay.ldxp.cn/item/wjj6ul
chatgpt-plus,ChatGPT Plus 试用订阅,4,4.1,链动小铺,自营-GPT Plus 成品号 未绑定手机 不绑定无法使用codex和反代 （pix渠道）,一梦AI,yimeng,295,4,https://pay.ldxp.cn/item/caw49k
chatgpt-plus,ChatGPT Plus 试用订阅,4,4,链动小铺,GPT Plus 成品号 质保首登 未绑定手机号 不绑定无法使用codex和反代,继续AI,aixx0,2339,8,https://pay.ldxp.cn/item/1xk2o8
chatgpt-plus,ChatGPT Plus 试用订阅,4,,链动小铺,gpt plus成品号，只能登录网页版，登录codex需要接码,gpt成品号出售欢迎对接,q00y6z3f,5,4,https://pay.ldxp.cn/item/ruuup3
chatgpt-plus,ChatGPT Plus 试用订阅,4,4.1,云猫寄售,自营-GPT Plus 成品号 未绑定手机 不绑定无法使用codex和反代 （pix渠道）,一梦小店,yimeng,69,4,https://catfk.com/item/xdolhu
chatgpt-plus,ChatGPT Plus 试用订阅,4.5,4.5,链动小铺,【超稳GPT PLUS UPI 渠道】,China-Nb,china-nb,11,4.5,https://pay.ldxp.cn/item/ds3tkc
chatgpt-plus,ChatGPT Plus 试用订阅,4.5,,链动小铺,【AT】plus成品，只能网页，codex要接码,小票的ai小铺,rdnn91k4,128,5.5,https://pay.ldxp.cn/item/5zcmy1
chatgpt-plus,ChatGPT Plus 试用订阅,4.5,5,链动小铺,GPT plus账号 没绑定手机号,喜乐小屋子,tubi7jgf,987,5.5,https://pay.ldxp.cn/item/3q8tie
chatgpt-plus,ChatGPT Plus 试用订阅,4.5,,链动小铺,GPT plus账号 未绑定手机号 使用codex需要自己绑定手机号,AI小铺,z90603bu,17,6,https://pay.ldxp.cn/item/bhjjp8
chatgpt-plus,ChatGPT Plus 试用订阅,4.5,4.5,链动小铺,UPI /IDEAL/PIX渠道 - ChatGPT Plus 月卡 成品号,团子AI,xk7jr4jn,2,5,https://pay.ldxp.cn/item/l0jcjo
chatgpt-plus,ChatGPT Plus 试用订阅,4.5,4.5,链动小铺,UPI /IDEAL渠道 - ChatGPT Plus 月卡 成品号,团子AI,xk7jr4jn,2,5,https://pay.ldxp.cn/item/zjfzls
chatgpt-plus,ChatGPT Plus 试用订阅,4.5,,云猫寄售,稳⚡️巴西渠道 gptplus会员独享月卡成品质保首登i微软邮箱,ai小铺888,ai999,14,4.5,https://catfk.com/item/d89f82
chatgpt-plus,ChatGPT Plus 试用订阅,4.8,,链动小铺,GPTRT Plus成品号质保首登(网页+反代+已接码),嗨乐购AI （源头一手AI渠道 承接大量代理）,898,39,4.8,https://pay.ldxp.cn/item/n8a98u
chatgpt-plus,ChatGPT Plus 试用订阅,4.88,4.88,链动小铺,GPT RT Plus 成品号 质保首登【网页+反代+已接码】,继续AI,aixx0,526,16,https://pay.ldxp.cn/item/taj1lx
chatgpt-plus,ChatGPT Plus 试用订阅,4.88,,链动小铺,Gpt RT Plus日抛成品号（含接码 直连Codex 网页 反代 可下载sub2 ）,独角兽AI（招代理 全线AI源头）,gptplus666,143,4.88,https://pay.ldxp.cn/item/yh6pqg
chatgpt-plus,ChatGPT Plus 试用订阅,4.9,,链动小铺,gpt openai plus美国 pp渠道 outlook邮箱 质保首登,602,vfxg9sk3,5,5,https://pay.ldxp.cn/item/fx8vrx
chatgpt-plus,ChatGPT Plus 试用订阅,4.95,6,链动小铺,【最新稳定渠道】GPT Plus成品号 | 已接码有RT| 支持Codex登录 | 质保首登 |,条条AI,条条卡券727,354,15,https://pay.ldxp.cn/item/emkfks
chatgpt-plus,ChatGPT Plus 试用订阅,4.98,,链动小铺,GPT PLUS 🔥成品|新渠道|没绑定手机 | 可使用CODEX CPA 自行接码,NiuGe AI 加钟站,niugestop,4,4.98,https://pay.ldxp.cn/item/bde670
chatgpt-plus,ChatGPT Plus 试用订阅,4.99,,链动小铺,💥爆款特惠｜新渠道源头供货｜ChatGPT Plus｜谷歌个人邮箱注册｜随买随用秒发,AI账号乐园,1234567890,11,5.99,https://pay.ldxp.cn/item/zgs725
chatgpt-plus,ChatGPT Plus 试用订阅,4.99,4.99,链动小铺,未接码【网页】Plus成品 sub2/cpa格式json 反代和codex 需要自己接码,AI 云智聪聪,u0fffzj6,13,4.99,https://pay.ldxp.cn/item/7kt51y
chatgpt-free-account,ChatGPT 普号,5,,链动小铺,#完美 高额度free 10个 已接码，家宽注册，有RT，质保首登，cpa/sub2api json,gptfree,chatgptfree,26,5,https://pay.ldxp.cn/item/c4syzx
chatgpt-plus,ChatGPT Plus 试用订阅,5,5,链动小铺,7 月 19 日晚plus upi渠道非pix 荷兰本宝宝icloud手搓成品号日日清 需接码,小哀小店,5luxz9a1,3,5.5,https://pay.ldxp.cn/item/yit0op
chatgpt-codex-service,Codex / ChatGPT 周边服务,5,,链动小铺,印度UPI | 巴西PIX 提链10次卡 | 无质保,映核资源站,p1vkuabw,13,5,https://pay.ldxp.cn/item/nwfofb
chatgpt-plus,ChatGPT Plus 试用订阅,5,5.6,链动小铺,自营-GPT Plus 成品号 RT 已绑定手机 （pix渠道）,一梦AI,yimeng,257,5.5,https://pay.ldxp.cn/item/24v4ui
chatgpt-free-account,ChatGPT 普号,5,5.8,链动小铺,Codex 60天-120天无限接码（质保最少绑定一个账号),Ai俱乐部,Aying,18,6.8,https://pay.ldxp.cn/item/1rq1xh
chatgpt-free-account,ChatGPT 普号,5,5,链动小铺,gpt free icoud 账号,小哀小店,5luxz9a1,8,0.6,https://pay.ldxp.cn/item/vrz7s3
chatgpt-plus,ChatGPT Plus 试用订阅,5,6,链动小铺,Gpt Plus 成品RT | 已接码 | 质保首登,ZZSwitch,zzswitch,18,5.5,https://pay.ldxp.cn/item/yivrf2
chatgpt-plus,ChatGPT Plus 试用订阅,5,,链动小铺,gpt plus at未接码网页成品号【质保首登】,懒羊羊,lanyangyang,105,5.9,https://pay.ldxp.cn/item/nwyd7f
chatgpt-plus,ChatGPT Plus 试用订阅,5,5.5,链动小铺,plus 成品号 未接码,La ai,la,40,5.3,https://pay.ldxp.cn/item/faj5sj
chatgpt-plus,ChatGPT Plus 试用订阅,5,5.6,云猫寄售,自营-GPT Plus 成品号 RT 已绑定手机 （pix渠道）,一梦小店,yimeng,33,5.5,https://catfk.com/item/odnwb3
chatgpt-free-account,ChatGPT 普号,5,5,云猫寄售,gpt普通账号（手搓Mail邮箱，无rt）,金金Ai源头批发（招实力代理）,jinjin,5,5,https://catfk.com/item/ga88xs
chatgpt-plus,ChatGPT Plus 试用订阅,5.2,,云猫寄售,GPT Plus 未接码成品号(欧洲或其他渠道),HLDragon,HLDragon,16,5.2,https://catfk.com/item/sx1bf4
chatgpt-plus,ChatGPT Plus 试用订阅,5.3,,链动小铺,icloud gmail邮箱plus，RT凭证，质保首登,icloud 邮箱 GPT PLUS直营店,liangfeng,100,5.5,https://pay.ldxp.cn/item/gx7be1
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,,链动小铺,[日抛3-plus发货格式cdk】 可登陆网页，反代成品质保首登每个额度100-150刀无五小时限制,青蛙AI·低价源头,qingwaAA,178,6,https://pay.ldxp.cn/item/v0cive
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,6,链动小铺,【已接码】GPT PLUS RT 成品 - UPI渠道 - 可直接用codex,极速Ai,jisuai,23,6,https://pay.ldxp.cn/item/qrgz19
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,6,链动小铺,【ChatGPT Plus号】已绑手机+微软邮箱可接码｜美国家宽注册｜JSON含RT｜(Upi渠道),gpt free旗舰店(已上plus 请代理添加下),9527,13,6,https://pay.ldxp.cn/item/2eflx6
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,,链动小铺,稳⚡️巴西渠道 gptplus会员独享月卡成品质保首登微软邮箱,ai小铺888,ai888,21,6.5,https://pay.ldxp.cn/item/9bmxyd
chatgpt-free-account,ChatGPT 普号,5.5,,链动小铺,chatgpt成品号-高权重谷歌邮箱开通-未接码-印度UPI【新产】,古法卡商,7qpxxkfx,37,7,https://pay.ldxp.cn/item/fell4k
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,5.5,链动小铺,Gpt Plus （Pix） 成品RT | 已接码 | 质保首登 | 10起9折 | 500起8.5折,AI金牌供应商 | 对接：t2j4ybta,t2j4ybta,280,6,https://pay.ldxp.cn/item/chcx58
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,,链动小铺,GPT plus账号 已绑定手机号,专业AI服务TG账户,oaoi,31,5.5,https://pay.ldxp.cn/item/u0733i
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,6,链动小铺,GPT plus账号 已绑定手机号,喜乐小屋子,tubi7jgf,1331,6.5,https://pay.ldxp.cn/item/6xaqmk
chatgpt-plus,ChatGPT Plus 试用订阅,5.5,,链动小铺,GPT plus账号 已绑定手机号 不提供二验证,AI小铺,z90603bu,90,7,https://pay.ldxp.cn/item/12rww0
chatgpt-plus,ChatGPT Plus 试用订阅,5.88,,云猫寄售,GPT plus账号 已绑定手机号【带rt】，cpa，sub2api格式,aihome,aihome,8,5.88,https://catfk.com/item/ejlugl
chatgpt-plus,ChatGPT Plus 试用订阅,5.9,5.9,链动小铺,GPT PLUS 半成品号，codex需接码,JieAiTop,JieAiTop,1,5.9,https://pay.ldxp.cn/item/afg3mi
chatgpt-plus,ChatGPT Plus 试用订阅,5.9,6,链动小铺,GPT RT Plus 成品号 质保首登【网页+反代+已接码】,花生商店,huasheng888,19,5.9,https://pay.ldxp.cn/item/luexsk
chatgpt-plus,ChatGPT Plus 试用订阅,5.99,5.99,链动小铺,已接码【网页+反代+codex】Plus成品 sub2/cpa格式json 已绑手机号验证 欧洲渠道 不包2验,AI 云智聪聪,u0fffzj6,13,5.99,https://pay.ldxp.cn/item/7aem47
chatgpt-plus,ChatGPT Plus 试用订阅,6,,链动小铺,ChatGptPlus 仅限反代使用（带rt+已绑手机号验证）,@AiGpt,AIGPTDJ,20,7,https://pay.ldxp.cn/item/l14ua3
chatgpt-plus,ChatGPT Plus 试用订阅,6,,链动小铺,chatgptplus成品号质保首登,AI代理商货源（8元gptplus成品号可用codex）,5y4035gb,47,5,https://pay.ldxp.cn/item/4udxyh
chatgpt-plus,ChatGPT Plus 试用订阅,6,6,链动小铺,GPT RT Plus 未接码 成品号，可活三四天 非日抛 可网页 （欧洲渠道）,ai驿站,qzbuzfy3,2,6.5,https://pay.ldxp.cn/item/vpfes8
chatgpt-free-account,ChatGPT 普号,6,6,链动小铺,gpt普通账号（高质量Mail邮箱，带rt）,咕咕Ai源头号商（招实力代理）,gugu,94,6,https://pay.ldxp.cn/item/58t6hy
chatgpt-plus,ChatGPT Plus 试用订阅,6,8,链动小铺,Plus UPI渠道 自助开通 提码+激活,专注gpt,93jm2skf,27,10.5,https://pay.ldxp.cn/item/8aq8ar
chatgpt-plus,ChatGPT Plus 试用订阅,6,6.5,云猫寄售,plus成品[质保首登][已接码][可反代],Antipro（请看店铺公告）,Antipro,68,8,https://catfk.com/item/tf0zlb
chatgpt-plus,ChatGPT Plus 试用订阅,6.49,,链动小铺,已接码GPTPLUS成品号|ChatGPT账号|ChatGPT 账号|GPT成品号|ChatGPT成品号|非日抛,AI批发代理,a44ur5q4,210,6.49,https://pay.ldxp.cn/item/aovldw
chatgpt-plus,ChatGPT Plus 试用订阅,6.49,,链动小铺,已接码Plus|Chat GPT|Chat GPT账号|Chat GPT成品号|OpenAI账号|非日抛|保首登,AI批发代理,a44ur5q4,210,6.49,https://pay.ldxp.cn/item/ma5sc7
chatgpt-plus,ChatGPT Plus 试用订阅,6.49,,链动小铺,ChatGPT Plus|ChatGPTPlus账号|ChatGPT会员|ChatGPT购买|非日抛|保首登,AI批发代理,a44ur5q4,210,6.49,https://pay.ldxp.cn/item/73rmiw
chatgpt-plus,ChatGPT Plus 试用订阅,6.49,,链动小铺,ChatGPTPlus成品号|ChatGPT PLUS|ChatGPT账号GPT成品号Codex已接码|非日抛|保首登,AI批发代理,a44ur5q4,270,6.49,https://pay.ldxp.cn/item/o2pcy2
chatgpt-plus,ChatGPT Plus 试用订阅,6.49,,链动小铺,Codex账号|Codex|ChatGPT Plus账号|GPT Plus成品号|已接码GPT账号GPT成品号|保首登,AI批发代理,a44ur5q4,210,6.49,https://pay.ldxp.cn/item/iw5rmd
chatgpt-plus,ChatGPT Plus 试用订阅,6.49,,链动小铺,GPT Plus|GPTPLUS|GPT会员|GPT购买|GPT Plus账号|GPTPLUS账号|已接码|保首登,AI批发代理,a44ur5q4,208,6.49,https://pay.ldxp.cn/item/qsdyws
chatgpt-plus,ChatGPT Plus 试用订阅,6.49,,链动小铺,GPTPLUS账号|GPT PLUS|GPTPLUS会员|GPT Plus成品号codex已接码|质保首登,AI批发代理,a44ur5q4,410,6.49,https://pay.ldxp.cn/item/bbfo1g
chatgpt-plus,ChatGPT Plus 试用订阅,6.5,,链动小铺,未接码🔥UPI渠道Plus成品 保首登,AI小铺,4w520x3k,1,7,https://pay.ldxp.cn/item/pliwwq
chatgpt-plus,ChatGPT Plus 试用订阅,6.5,6.5,链动小铺,PLUS （带rt不带帐密）质保首登，cpa格式 有转换格式网站,Hug AI,r6vbudga,172,6.5,https://pay.ldxp.cn/item/8zbzrl
chatgpt-plus,ChatGPT Plus 试用订阅,6.7,,链动小铺,upi 印度渠道 ChatGPT plus iCloud 邮箱 质保首次登录,602,vfxg9sk3,3,6.8,https://pay.ldxp.cn/item/xjmmn2
chatgpt-plus,ChatGPT Plus 试用订阅,6.7,,链动小铺,upi 印度渠道 ChatGPT plus iCloud 邮箱 质保首次登录,602,vfxg9sk3,7,6.8,https://pay.ldxp.cn/item/zse34a
chatgpt-plus,ChatGPT Plus 试用订阅,6.8,,链动小铺,🔥Plus【网页+反代+已接码】成品号 每日限量特价,AI gogo渠道 （招代理）,gogo,59,7.3,https://pay.ldxp.cn/item/hd0e7a
chatgpt-plus,ChatGPT Plus 试用订阅,7,,链动小铺,chatgpt plus接码成品号一个，只保首登，其他不管,神牛基金会,zhouzhou,6,7,https://pay.ldxp.cn/item/4alazp
chatgpt-plus,ChatGPT Plus 试用订阅,7.3,,链动小铺,【智选-GPT月卡】 ChatGPT成品号 ChatGPTPlus成品号 ChatGPTPlus月卡成品号-icloud,AKMOZ.com魔卡AI（销量13k+）只做精品Ai,akmoz,15,14,https://pay.ldxp.cn/item/ldw13c
chatgpt-plus,ChatGPT Plus 试用订阅,7.5,,链动小铺,GPT Plus 已接码|直上codex 欧洲渠道（质保首登，非日抛,og小铺,kbsasoc6,6,9.3,https://pay.ldxp.cn/item/s10ti8
chatgpt-plus,ChatGPT Plus 试用订阅,8,,链动小铺,【印度upi渠道】2FA密钥登录 ChatGPT Plus 独享成品号 | 质保首登 | codex不包接码,映核资源站,p1vkuabw,3,8,https://pay.ldxp.cn/item/n201rh
chatgpt-plus,ChatGPT Plus 试用订阅,8,,链动小铺,巴西pix渠道 Plus 半成品号未接码,李页的小店,liye0909,1,10,https://pay.ldxp.cn/item/8h538a
chatgpt-plus,ChatGPT Plus 试用订阅,8,,链动小铺,稳·成品plus(已接码)，仅质保首登！有问题请联系客服处理！,doghubx,doghubx,22,9.7,https://pay.ldxp.cn/item/ia82hh
chatgpt-plus,ChatGPT Plus 试用订阅,8,9,链动小铺,新渠道（推荐）gpt plus试用开通（代开）upi质保三小时 (进群看公告）稳定渠道,岁岁AI小铺（招代理看公告）,j3zq01ry,20,7,https://pay.ldxp.cn/item/tce6dl
chatgpt-plus,ChatGPT Plus 试用订阅,8,,云猫寄售,【智选-GPT月卡】 ChatGPT成品号 ChatGPTPlus成品号 ChatGPTPlus月卡成品号-icloud,AKMOZ-魔卡AI-成品号不封,akmoz,2,17,https://catfk.com/item/z78ngz
chatgpt-plus,ChatGPT Plus 试用订阅,8,5,云猫寄售,gpt plus成品号 一天plus号 （一天使用权限只能用网页plus）,gpt/gemini代充/成品（招代理）,736661915,598,10,https://catfk.com/item/9zcs7s
chatgpt-team-business,ChatGPT Team / Business,8.8,,链动小铺,24小时team（正常额度，全程质保）,舒心的小铺,shuxin79,7,8.8,https://pay.ldxp.cn/item/uelbit
chatgpt-plus,ChatGPT Plus 试用订阅,8.89,,链动小铺,GPT Plus 成品 全格式欧洲新渠道🔥 已接码｜ 可网页也支持 Codex 反代| 已经绑定手机,NiuGe AI 加钟站,niugestop,15,8.89,https://pay.ldxp.cn/item/pqyay0
chatgpt-plus,ChatGPT Plus 试用订阅,8.9,,链动小铺,【限时特价只有周限】-欧洲渠道cdk-GPT PLUS 已接码 月卡 可反代可网页,派大星Ai,PaxAi,26,8.9,https://pay.ldxp.cn/item/w8b4w5
chatgpt-plus,ChatGPT Plus 试用订阅,9,,链动小铺,GPT Plus成品号 稳定版本【已接码|无质保】,贝雕AI,BeiDiao,19,10.99,https://pay.ldxp.cn/item/6hw8vl
chatgpt-plus,ChatGPT Plus 试用订阅,9,9,链动小铺,GPT RT Plus 成品号,AI源头小铺,nsttdzsp,2,12,https://pay.ldxp.cn/item/ynrw2p
chatgpt-plus,ChatGPT Plus 试用订阅,9,8,链动小铺,GPT RT Plus 成品号，可活三四天 非日抛 可网页 可反代（欧洲渠道）,ai驿站,qzbuzfy3,8,9.9,https://pay.ldxp.cn/item/39up7l
chatgpt-plus,ChatGPT Plus 试用订阅,9,,链动小铺,GPT注册🐓 卡密 1天 (1CPU/1GB内存),AI 小铺（全网最低价）,@buygptpuls,110,10,https://pay.ldxp.cn/item/tghg2d
chatgpt-plus,ChatGPT Plus 试用订阅,9,,云猫寄售,GPT Plus成品号 稳定版本【已接码|无质保】,贝雕AI,BeiDiao,2,10.99,https://catfk.com/item/hg1i8p
chatgpt-plus,ChatGPT Plus 试用订阅,9.3,9.3,链动小铺,GPT Plus周额度成品号🔥PIX/Paypal 渠道(icloud邮箱),派大星AI小店,bayvr1ff,2,9.6,https://pay.ldxp.cn/item/frgh5u
chatgpt-plus,ChatGPT Plus 试用订阅,9.5,,链动小铺,已接码🔥UPI渠道Plus成品带RT 可登网页 codex/cpa/sub 保首登,AI小铺,4w520x3k,21,9.8,https://pay.ldxp.cn/item/ppu8hs
chatgpt-codex-service,Codex / ChatGPT 周边服务,9.5,,链动小铺,GPT-Plus印度【UPI】扫码对接（CDK）保持高二维码生成率-包10次提码,唐伯猫小铺,ntq68jfm,15,10,https://pay.ldxp.cn/item/3bco69
chatgpt-plus,ChatGPT Plus 试用订阅,9.5,12,链动小铺,GPTPLUS独享成品月卡|质保三小时,岁岁AI小铺（招代理看公告）,j3zq01ry,9,11.96,https://pay.ldxp.cn/item/3e7mz9
chatgpt-plus,ChatGPT Plus 试用订阅,9.8,10,链动小铺,10刀充值兑换码 仅gpt,自由之路,onallways,19,10,https://pay.ldxp.cn/item/3m74vv
chatgpt-plus,ChatGPT Plus 试用订阅,9.9,,链动小铺,chatgptplus成品号|可用codex|质保首登,AI代理商货源（8元gptplus成品号可用codex）,5y4035gb,87,9.9,https://pay.ldxp.cn/item/kyu0rx
